diapolo	850
sipa	502
laanwj	362
gavinandresen	318
thebluematt	318
luke-jr	258
jgarzik	216
gmaxwell	78
fanquake	76
rebroad	62
dooglus	48
petertodd	42
codeshark	38
jonasschnelli	38
xanatos	36
tcatm	32
jrmithdobbs	28
super3	28
theuni	26
michagogo	20
codler	18
muggenhor	18
wtogami	18
forrestv	16
freewil	16
mikehearn	16
paraipan	16
sje397	16
dertin	14
robbak	12
runeksvendsen	12
alexwaters	10
brandondahler	10
cozz	10
genjix	10
grimd34th	10
kjj2	10
mibe	10
mikegogulski	10
pstratem	10
roques	10
alexanderkjeldaas	8
cafxx	8
cardpuncher	8
colindean	8
jaromil	8
maaku	8
phelixbtc	8
sgimenez	8
xhire	8
al42and	6
cdhowie	6
cjdelisle	6
coblee	6
davout	6
devrandom	6
ericj2190	6
jayschwa	6
krellan	6
lano1106	6
mgiuca	6
mndrix	6
nanotube	6
r000n	6
rdponticelli	6
spiechu	6
vinniefalco	6
wizeman	6
xslidian	6
apoelstra	4
ayanes	4
centromere	4
coderrr	4
crinklebine	4
drizzt	4
enelar	4
enmaku	4
fcicq	4
gjs278	4
iongchun	4
jcalvinowens	4
joelkatz	4
johnmaguire2013	4
jonls	4
jordanlewis	4
khalahan	4
khorben	4
lachesis	4
matoking	4
mb300sd	4
mhanne	4
nobled	4
sarchar	4
sassame	4
shufps	4
smola	4
vegard	4
94m3k1n9	2
aceat64	2
aeyoun	2
ahf	2
ali1234	2
amiryal	2
aperson241	2
arnavion	2
ashleyholman	2
aviad	2
avl42	2
bitkevin	2
bitsofproof	2
bittrader	2
blackymetal	2
bobalot	2
bruiselee	2
burger2	2
bytemaster	2
canercandan	2
cdecker	2
celeduc	2
chemisist	2
clopez	2
constantined	2
copiamarket	2
corwin78	2
crazikpl	2
da2ce7	2
dabaopku	2
daedalus	2
dajohi	2
dan-da	2
davidgriffith	2
delirium--	2
dholbert	2
djpnewton	2
dlitz	2
dlo	2
doublec	2
dparrish	2
dserrano5	2
fabianhjr	2
finway-china	2
floe	2
fredan	2
gandaro	2
globalcitizen	2
glondu	2
gnonthgol	2
graingert	2
grayleonard	2
groffer	2
hostfat	2
hsoft	2
interfect	2
ius	2
javgh	2
jburkle	2
jevonx	2
jhenninger	2
jhyslop	2
jmcorgan	2
jojkaart	2
jondoh	2
joshtriplett	2
jowbob	2
jtobey	2
kumaresanc	2
kwaaak	2
kybl	2
l2g	2
larsr	2
m0ray	2
maqifrnswa	2
mcassano	2
mcdee	2
meighti	2
mhredmond21	2
mklarmann	2
n1bor	2
nerzahd	2
nicolai-s	2
nmarley	2
nomnombtc	2
nothing4you	2
nvmd	2
nyusan	2
ojab	2
olea	2
oleganza	2
onlyjob	2
osmosis79	2
ovdeathiam	2
p2k	2
paraboul	2
pasky	2
phantomcircuit	2
phorensic	2
pixelglow	2
pose	2
prusnak	2
pshep	2
ptrckbrwn	2
randomproof	2
rav3npl	2
redshark1802	2
sander-kleykens	2
sandos	2
semibiotic	2
shanew	2
silvioq	2
sje1	2
sneak	2
somebadger	2
soroush	2
speirs	2
starius	2
tariq786	2
tfoote	2
themighty1	2
tiernolan	2
timsk	2
tomboy-64	2
trapp	2
tstranex	2
tucenaber	2
vhf	2
vobornik	2
witten	2
wlch	2
wolciph	2
wowus	2
wyager	2
xblitz	2
zechiel	2
zeldovich	2
znort987	2
zootreeves	2
